13424011,Pengadaan SPT Tahunan PPh beserta Kelengkapannya,0,LPSE Kementerian Keuangan Banten,1253917000,1253835000,898966000,CV Indocitra Mandiri
13423011,Pengadaan CCTV,0,LPSE Kementerian Keuangan Banten,686085000,672940400,597520000,PT DHARMA MITRA PERKASA
13422011,Pengadaan Barang Cetak,0,LPSE Kementerian Keuangan Banten,360000000,271360375,219807500,CV. TEGAR GEMILANG
13419011,Pengadaan Media Rekam Berupa Tape Catridge,0,Komisi Pemberantasan Korupsi,236682050,236682050,205467900,PT. KENCANA SARANA SOLUSINDO
13415011,Pengadaan Perangkat Lunak Integrasi TIK Kementerian Keuangan Tahun Anggaran 2014,0,Sekretariat Jenderal Kementerian Keuangan,4998217400,2716650750,2714470000,PT Kreasi Citra Solusi
13414011,Pemeliharaan Gedung (Jasa Kebersihan) pada Pusat Pengolahan Data dan Dokumen Perpajakan,0,Direktorat Jenderal Pajak,903000000,901929000,846100200,CV. PANCORAN TIRTA SIUSAR
13413011,Pengadaan Sistem Jaringan dan Komputer,0,Sekretariat Wakil Presiden,259112840,259105955,218821000,PT. COMPUTER SQUARE PRATAMA
13411011,Pengadaan Jasa Kebersihan Gedung dan Halaman Kantor,0,PUSAT KAJIAN DAN PENDIDIKAN DAN PELATIHAN APARATUR I,1180200000,1180156211,1040869016,PT. MANGLAYANG BERSEMI
13410011,Pengadaan Peralatan Audio Visual Perpustakaan,0,Kementerian Sekretariat Negara,350000000,347200000,333905000,HARAPAN CIPTA RAYA
13408011,Pengadaan Software dan Perpanjangan Lisensi,0,Pusat Pelaporan dan Analisis Transaksi Keuangan,588523100,588523100,588298425,PT. Arjuna Sinatria Amarta
13405011,Pengadaan Jasa Maintenance Mechanical Electrical Pada Pusat Pengolahan Data dan Dokumen Perpajakan,0,Direktorat Jenderal Pajak,500000000,499911400,393668000,barokah abadi
13404011,Pengadaan Sewa Mesin Fotokopi untuk Badan Kebijakan Fiskal Tahun Anggaran 2015,0,Badan Kebijakan Fiskal,1411200000,1289820000,1225290000,PT. SETIAWAN KUMALAGIRI
13402011,Pengadaan Jasa Keamanan untuk KPK,0,Komisi Pemberantasan Korupsi,7242800000,6862574887,6553697157,PT.CITRA INSANI GARDA SEMESTA
13401011,Pengadaan Notebook Biro TI Tahun Anggaran 2014,0,Badan Pemeriksa Keuangan RI Pusat,880000000,754602000,743545000,PT DAYA KARYA HUTAMA
13397011,Pengadaan Formulir SPT Tahunan PPh Beserta Kelengkapannya untuk Tahun Anggaran 2014 pada Kanwil DJP Bengkulu dan Lampung,0,LPSE Kementerian Keuangan Lampung,1300000000,970297000,889868320,CV. Selalau Jaya Abadi
13395011,Pengadaan Generator Set Keperluan Kantor Vertikal Ditjen Perbendaharaan Tahun Anggaran 2014,0,Direktorat Jenderal Perbendaharaan,1959866529,1959866529,1582900000,PT. Panca Abadi Globalindo
13394011,Pengadaan Meubelair Kantor OJK Yogyakarta,0,Otoritas Jasa Keuangan,950000000,943919350,869346500,PT. PANCA KARSA LUHUR
13393011,Perangkat Pengolah Data Tahap 2,0,Direktorat Jenderal Bea dan Cukai,3774757000,3662916000,3621084500,PT. AMTEK INTERNASIONAL
